character,actual,predicted
1H4_Archbishop,1,p
1H4_Blunt,2,p
1H4_Douglas,1,0
1H4_Falstaff,2,3
1H4_Gadshill,6,6
1H4_Glendower,0,2
1H4_HenryIV,0,0
1H4_HenryV,1,0
1H4_Hotspur,1,1
1H4_LadyPercy,1,0
1H4_MistressQuickly,4,6
1H4_Mortimer,1,p
1H4_Poins,2,0
1H4_Vernon,1,p
1H4_Westmoreland,1,p
1H4_Worcester,1,0
1H6_Alanson,1,6
1H6_Bedford,1,0
1H6_Burgundy,1,0
1H6_CardinalBeaufort,1,0
1H6_Charles,0,0
1H6_Countess,1,3
1H6_Exeter,1,0
1H6_Gloucester,1,2
1H6_HenryVI,0,0
1H6_JohnTalbot,2,3
1H6_Lucy,2,0
1H6_MESSENGERS.ENGLISH.3,6,p
1H6_Mortimer,1,1
1H6_Pucelle,p,0
1H6_QueenMargaret,1,3
1H6_Reignier,1,7
1H6_Somerset,1,0
1H6_Suffolk,1,1
1H6_Talbot,2,1
1H6_Warwick,1,0
1H6_York,1,1
2H4_Archbishop,1,0
2H4_Bardolph,5,6
2H4_Bedford,1,0
2H4_ChiefJustice,1,3
2H4_Chorus,p,2
2H4_Davy,6,6
2H4_DollTearsheet,6,5
2H4_Epilogue,p,2
2H4_Falstaff,2,2
2H4_Hastings,1,p
2H4_HenryIV,0,0
2H4_HenryV,1,1
2H4_LadyPercy,1,1
2H4_LordBardolph,1,p
2H4_MistressQuickly,4,5
2H4_Morton,2,p
2H4_Mowbray,1,0
2H4_Northumberland,1,1
2H4_Pistol,6,3
2H4_Poins,2,3
2H4_Shallow,2,5
2H4_Silence,2,7
2H4_Warwick,1,p
2H4_Westmoreland,1,1
2H6_Buckingham,1,0
2H6_Cade,4,0
2H6_CardinalBeaufort,1,1
2H6_Clifford,1,2
2H6_Dick,4,6
2H6_DuchessOfGloucester,1,1
2H6_Gloucester,1,1
2H6_HenryVI,0,0
2H6_Iden,3,2
2H6_Lieutenant,6,0
2H6_QueenMargaret,0,1
2H6_Salisbury,1,3
2H6_Saye,1,2
2H6_Suffolk,1,1
2H6_Warwick,1,0
2H6_York,1,2
2H6_YoungClifford,1,p
3H6_Clarence,1,0
3H6_Clifford,1,1
3H6_EdwardIV,1,0
3H6_HenryVI,0,1
3H6_KingLewis,0,0
3H6_Oxford,1,7
3H6_PrinceEdward,1,1
3H6_QueenElizabeth,2,2
3H6_QueenMargaret,0,1
3H6_RichardIII,1,0
3H6_Somerset,1,0
3H6_Warwick,1,0
3H6_York,1,0
AWW_Bertram,1,2
AWW_Countess,1,3
AWW_Diana,4,5
AWW_Fool,p,6
AWW_Helen,p,2
AWW_King,0,0
AWW_LORDS.DUMAINE.1,1,0
AWW_LORDS.DUMAINE.2,1,0
AWW_Lafew,1,3
AWW_Parolles,4,2
AWW_SOLDIERS.Interpreter,6,4
AWW_Steward,4,3
AWW_Widow,4,3
AYL_Adam,6,4
AYL_Celia,1,4
AYL_Charles,5,2
AYL_Corin,5,4
AYL_DukeFrederick,0,5
AYL_DukeSenior,0,0
AYL_Jaques,1,2
AYL_LORDS.FREDERICK.LeBeau,2,6
AYL_LORDS.SENIOR.0.1,1,p
AYL_LORDS.SENIOR.Amiens,1,2
AYL_Oliver,2,1
AYL_Orlando,2,1
AYL_Phoebe,5,3
AYL_Rosalind,1,4
AYL_Silvius,5,3
AYL_Touchstone,p,p
Ado_Beatrice,1,2
Ado_Benedick,1,2
Ado_Borachio,2,2
Ado_Claudio,1,1
Ado_Dogberry,4,4
Ado_DonJohn,1,2
Ado_DonPedro,0,2
Ado_FriarFrancis,2,2
Ado_Hero,1,1
Ado_Leonato,1,2
Ado_LeonatosBrother,1,2
Ado_Margaret,2,1
Ado_Ursula,2,p
Ant_Agrippa,2,p
Ant_Antony,0,3
Ant_Charmian,2,2
Ant_Cleopatra,0,1
Ant_Countryman,p,5
Ant_Dolabella,1,5
Ant_Enobarbus,1,5
Ant_Eros,6,p
Ant_Lepidus,0,4
Ant_Maecenas,2,p
Ant_Menas,4,5
Ant_Octavius,0,3
Ant_Pompey,0,5
Ant_Scarus,3,0
Cor_Aufidius,1,1
Cor_CITIZENS.ROMAN.0.1,5,0
Cor_CITIZENS.ROMAN.0.2,5,5
Cor_CITIZENS.ROMAN.3,5,0
Cor_Cominius,1,1
Cor_Coriolanus,1,6
Cor_Lartius,2,7
Cor_Menenius,1,2
Cor_SENATORS.ROMAN.0.1,2,p
Cor_SERVANTS.2,6,6
Cor_SERVANTS.3,6,5
Cor_TRIBUNES.Brutus,4,0
Cor_TRIBUNES.Sicinius,4,0
Cor_Valeria,1,0
Cor_Volumnia,1,0
Cor_WATCHMEN.1,6,4
Cym_ATTENDANTS.1,1,p
Cym_ATTENDANTS.CLOTEN.2,1,5
Cym_Arviragus,1,5
Cym_Belarius,1,0
Cym_Cloten,1,1
Cym_Cornelius,3,p
Cym_Cymbeline,0,0
Cym_Guiderius,1,5
Cym_Iachimo,2,2
Cym_Imogen,1,5
Cym_JAILERS.1,6,4
Cym_Lucius,2,6
Cym_Philario,2,p
Cym_Pisanio,2,3
Cym_Posthumus,2,1
Cym_Queen,0,5
Cym_Soothsayer,p,7
Err_Abbess,3,2
Err_Adriana,2,5
