character,actual,predicted
1H4_Falstaff,fool,protag
1H4_HenryIV,other,other
1H4_HenryV,protag,protag
1H4_Hotspur,antag,other
1H6_Talbot,other,protag
2H4_Falstaff,fool,antag
2H6_QueenMargaret,other,other
2H6_York,other,other
3H6_EdwardIV,other,protag
3H6_HenryVI,other,protag
3H6_RichardIII,other,protag
3H6_Warwick,other,protag
AWW_Helen,protag,antag
AWW_King,other,protag
AWW_Parolles,other,antag
AYL_Rosalind,protag,antag
Ado_Benedick,other,antag
Ado_Leonato,other,antag
Ant_Antony,protag,protag
Ant_Cleopatra,other,protag
Ant_Octavius,antag,antag
Cor_Coriolanus,protag,protag
Cor_Menenius,other,antag
Cym_Belarius,other,protag
Cym_Iachimo,antag,antag
Cym_Imogen,protag,other
Cym_Posthumus,other,other
H5_Fluellen,other,antag
H5_HenryV,protag,other
H8_HenryVIII,protag,antag
H8_Katherine,other,antag
H8_Wolsey,antag,antag
Ham_Claudius,antag,other
Ham_Hamlet,protag,antag
Ham_Polonius,other,antag
JC_Antony,antag,other
JC_Brutus,protag,protag
JC_Cassius,other,protag
Jn_Bastard,other,protag
Jn_KingJohn,protag,protag
LLL_Berowne,other,other
Lr_Edgar,other,protag
Lr_Gloucester,other,other
Lr_Kent,other,antag
Lr_Lear,protag,protag
MM_Duke,protag,antag
MM_Isabella,other,antag
MV_Bassanio,other,antag
MV_Portia,protag,antag
MV_Shylock,antag,other
Mac_Macbeth,protag,protag
Oth_Desdemona,other,other
Oth_Iago,antag,antag
Oth_Othello,protag,protag
Per_Pericles,protag,protag
R2_HenryIV,antag,other
R2_RichardII,protag,protag
R3_Buckingham,other,other
R3_RichardIII,protag,other
Rom_FriarLawrence,other,protag
Rom_Juliet,other,protag
Rom_Romeo,protag,protag
Shr_Petruchio,protag,protag
TGV_Proteus,antag,antag
TGV_Valentine,protag,other
TN_TobyBelch,other,protag
TN_Viola,protag,antag
TNK_Arcite,other,antag
TNK_Daughter,other,other
TNK_Emilia,other,antag
TNK_Palamon,other,protag
Tim_Timon,protag,protag
Tit_Aaron,antag,protag
Tit_Titus,protag,protag
Tmp_Prospero,protag,protag
Tro_Pandarus,other,other
Tro_Troilus,protag,protag
Tro_Ulysses,other,antag
WT_Leontes,protag,protag
Wiv_Falstaff,antag,fool
Wiv_MasterFord,other,antag
Wiv_MistressPage,protag,antag
