character,actual,predicted
1H4_Falstaff,fool,protag
1H4_HenryIV,other,other
1H4_HenryV,protag,other
1H4_Hotspur,antag,other
1H4_Worcester,other,other
1H6_Charles,antag,antag
1H6_Gloucester,other,other
1H6_HenryVI,protag,other
1H6_Pucelle,other,other
1H6_Suffolk,other,other
1H6_Talbot,other,other
1H6_York,other,other
2H4_Archbishop,other,other
2H4_ChiefJustice,antag,antag
2H4_Falstaff,fool,antag
2H4_HenryIV,other,other
2H4_HenryV,protag,other
2H4_MistressQuickly,other,fool
2H4_Shallow,other,fool
2H6_Cade,other,other
2H6_Gloucester,other,other
2H6_HenryVI,other,other
2H6_QueenMargaret,other,other
2H6_Suffolk,other,antag
2H6_Warwick,other,protag
2H6_York,other,other
3H6_Clifford,other,other
3H6_EdwardIV,other,other
3H6_HenryVI,other,other
3H6_QueenMargaret,other,other
3H6_RichardIII,other,other
3H6_Warwick,other,other
3H6_York,other,other
AWW_Bertram,antag,protag
AWW_Countess,other,other
AWW_Diana,other,protag
AWW_Fool,fool,fool
AWW_Helen,protag,other
AWW_King,other,other
AWW_LORDS.DUMAINE.1,other,other
AWW_Lafew,other,fool
AWW_Parolles,other,antag
AYL_Celia,other,protag
AYL_Jaques,other,antag
AYL_Oliver,other,other
AYL_Orlando,other,other
AYL_Rosalind,protag,antag
AYL_Touchstone,other,antag
Ado_Beatrice,protag,other
Ado_Benedick,other,protag
Ado_Claudio,other,other
Ado_Dogberry,fool,fool
Ado_DonPedro,other,other
Ado_Leonato,other,other
Ant_Antony,protag,protag
Ant_Cleopatra,other,other
Ant_Enobarbus,other,antag
Ant_Octavius,antag,other
Cor_Aufidius,other,other
Cor_Cominius,other,other
Cor_Coriolanus,protag,protag
Cor_Menenius,other,antag
Cor_TRIBUNES.Brutus,antag,other
Cor_TRIBUNES.Sicinius,other,other
Cor_Volumnia,other,antag
Cym_Belarius,other,other
Cym_Cloten,fool,other
Cym_Cymbeline,other,other
Cym_Guiderius,other,fool
Cym_Iachimo,antag,other
Cym_Imogen,protag,fool
Cym_Pisanio,other,antag
Cym_Posthumus,other,antag
Cym_Queen,other,protag
Err_Adriana,other,other
Err_AntipholusOfEphesus,antag,other
Err_AntipholusOfSyracuse,protag,other
Err_DromioOfEphesus,fool,fool
Err_DromioOfSyracuse,fool,fool
Err_Egeon,other,other
H5_BishopOfCanterbury,other,antag
H5_Chorus,other,other
H5_Fluellen,other,other
H5_HenryV,protag,other
H5_Pistol,other,other
H8_Buckingham,other,antag
H8_Chamberlain,other,other
H8_Cranmer,other,antag
H8_HenryVIII,protag,antag
H8_Katherine,other,other
H8_Norfolk,other,other
H8_Wolsey,antag,other
Ham_Claudius,antag,other
Ham_Gertrude,other,other
Ham_Hamlet,protag,antag
Ham_Horatio,other,other
Ham_Laertes,other,other
Ham_Ophelia,other,other
Ham_Polonius,other,antag
JC_Antony,antag,other
JC_Brutus,protag,other
JC_Caesar,other,protag
JC_Casca,other,other
